"P1";"P2";"Vainqueur"
"Insolourdo";"Lugia";"Lugia"
"Aligatueur";"Zarbi (D)";"Zarbi (D)"
"Lanturn";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Kapoera";"Ecrémeuh";"Kapoera"
"Hyporoi";"Ho-Oh";"Ho-Oh"
"Lanturn";"Celebi";"Celebi"
"Typhlosion";"Xatu (Mâle)";"Typhlosion"
"Roigada";"Donphan (Mâle)";"Donphan (Mâle)"
"Tyranocif";"Ho-Oh";"Tyranocif"
"Volcaropod";"Démanta";"Démanta"
"Maraiste (Mâle)";"Tyranocif";"Tyranocif"
"Insolourdo";"Ho-Oh";"Ho-Oh"
"Héliatronc";"Leuphorie";"Héliatronc"
"Fouinar";"Roigada";"Fouinar"
"Volcaropod";"Celebi";"Celebi"
"Aligatueur";"Lanturn";"Lanturn"
"Méganium (Mâle)";"Celebi";"Méganium (Mâle)"
"Typhlosion";"Ecrémeuh";"Typhlosion"
"Noarfang";"Donphan (Mâle)";"Noarfang"
"Nostenfer";"Qwilfish";"Nostenfer"
"Granbull";"Tyranocif";"Tyranocif"
"Simularbre (Mâle)";"Noctali";"Noctali"
"Qwilfish";"Kapoera";"Kapoera"
"Aligatueur";"Simularbre (Mâle)";"Simularbre (Mâle)"
"Entei";"Ho-Oh";"Ho-Oh"
"Qulbutoké (Mâle)";"Ecrémeuh";"Ecrémeuh"
"Caratroc";"Hyporoi";"Hyporoi"
"Noctali";"Suicune";"Noctali"
"Héliatronc";"Celebi";"Celebi"
"Méganium (Mâle)";"Coxyclaque (Mâle)";"Méganium (Mâle)"
"Roigada";"Qwilfish";"Roigada"
"Fouinar";"Pharamp";"Pharamp"
"Coxyclaque (Mâle)";"Cadoizo";"Coxyclaque (Mâle)"
"Girafarig (Mâle)";"Ecrémeuh";"Girafarig (Mâle)"
"Fouinar";"Démanta";"Fouinar"
"Noarfang";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Fouinar";"Airmure";"Fouinar"
"Démolosse (Mâle)";"Kapoera";"Démolosse (Mâle)"
"Maraiste (Mâle)";"Lugia";"Lugia"
"Insolourdo";"Airmure";"Airmure"
"Azumarill";"Zarbi (D)";"Zarbi (D)"
"Aligatueur";"Maraiste (Mâle)";"Aligatueur"
"Pharamp";"Azumarill";"Pharamp"
"Maraiste (Mâle)";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Héliatronc";"Granbull";"Granbull"
"Zarbi (D)";"Girafarig (Mâle)";"Zarbi (D)"
"Xatu (Mâle)";"Entei";"Entei"
"Donphan (Mâle)";"Kapoera";"Kapoera"
"Airmure";"Entei";"Entei"
"Joliflor";"Insolourdo";"Insolourdo"
"Ecrémeuh";"Tyranocif";"Tyranocif"
"Roigada";"Caratroc";"Roigada"
"Migalos";"Cizayox (Femelle)";"Migalos"
"Maraiste (Mâle)";"Volcaropod";"Volcaropod"
"Caratroc";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Maraiste (Mâle)";"Roigada";"Roigada"
"Maraiste (Mâle)";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Hyporoi";"Tyranocif";"Hyporoi"
"Aligatueur";"Foretress";"Aligatueur"
"Foretress";"Volcaropod";"Volcaropod"
"Méganium (Mâle)";"Noctali";"Noctali"
"Méganium (Mâle)";"Steelix (Mâle)";"Méganium (Mâle)"
"Noarfang";"Noctali";"Noctali"
"Scarhino (Mâle)";"Volcaropod";"Scarhino (Mâle)"
"Mentali";"Cadoizo";"Mentali"
"Migalos";"Donphan (Mâle)";"Migalos"
"Héliatronc";"Octillery (Mâle)";"Octillery (Mâle)"
"Méganium (Mâle)";"Caratroc";"Méganium (Mâle)"
"Joliflor";"Maraiste (Mâle)";"Joliflor"
"Simularbre (Mâle)";"Hyporoi";"Hyporoi"
"Maraiste (Mâle)";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Tarpaud (Mâle)";"Cadoizo";"Tarpaud (Mâle)"
"Coxyclaque (Mâle)";"Donphan (Mâle)";"Coxyclaque (Mâle)"
"Joliflor";"Ecrémeuh";"Joliflor"
"Nostenfer";"Hyporoi";"Nostenfer"
"Aligatueur";"Volcaropod";"Volcaropod"
"Qwilfish";"Lugia";"Lugia"
"Steelix (Mâle)";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Hyporoi";"Celebi";"Celebi"
"Entei";"Lugia";"Lugia"
"Héliatronc";"Airmure";"Airmure"
"Cizayox (Femelle)";"Queulorior";"Cizayox (Femelle)"
"Lanturn";"Tyranocif";"Lanturn"
"Pharamp";"Entei";"Entei"
"Caratroc";"Démanta";"Démanta"
"Suicune";"Celebi";"Suicune"
"Maraiste (Mâle)";"Cadoizo";"Cadoizo"
"Méganium (Mâle)";"Aligatueur";"Méganium (Mâle)"
"Donphan (Mâle)";"Queulorior";"Donphan (Mâle)"
