"P1";"P2";"Vainqueur"
"Flâmigator";"Triopikeau";"Flâmigator"
"Briochien";"Deusolourdo (Forme Triple)";"Briochien"
"Balbalèze";"Scalpereur";"Scalpereur"
"Fragoin (Mâle)";"Ampibidou";"Fragoin (Mâle)"
"Virevorreur";"Courrousinge";"Virevorreur"
"Lestombaile";"Balbalèze";"Lestombaile"
"Forgelina";"Triopikeau";"Triopikeau"
"Paume-de-Fer";"Yuyu";"Yuyu"
"Courrousinge";"Fongus-Furie";"Courrousinge"
"Miascarade";"Miraidon";"Miraidon"
"Nigirigon (Forme Affalée)";"Deusolourdo (Forme Triple)";"Nigirigon (Forme Affalée)"
"Filentrappe";"Flamenroule";"Flamenroule"
"Famignol";"Hurle-Queue";"Hurle-Queue"
"Palmaval";"Terracruel";"Palmaval"
"Ampibidou";"Deusolourdo (Forme Triple)";"Deusolourdo (Forme Triple)"
"Dogrino";"Koraidon";"Koraidon"
"Virevorreur";"Ferdeter";"Virevorreur"
"Pohmarmotte";"Garde-de-Fer";"Garde-de-Fer"
"Gigansel";"Tag-tag";"Tag-tag"
"Malvalame";"Garde-de-Fer";"Malvalame"
"Craparoi";"Gromago";"Craparoi"
"Ampibidou";"Lestombaile";"Lestombaile"
"Malvalame";"Bérasca";"Malvalame"
"Bérasca";"Chongjian";"Bérasca"
"Bérasca";"Yuyu";"Yuyu"
"Deusolourdo (Forme Triple)";"Hotte-de-Fer";"Deusolourdo (Forme Triple)"
"Gigansel";"Terracruel";"Terracruel"
"Ampibidou";"Nigirigon (Forme Affalée)";"Nigirigon (Forme Affalée)"
"Hotte-de-Fer";"Glaivodo";"Hotte-de-Fer"
"Scovilain";"Miraidon";"Miraidon"
"Pohmarmotte";"Craparoi";"Craparoi"
"Vrombotor";"Koraidon";"Koraidon"
"Fulgulairo";"Mite-de-Fer";"Mite-de-Fer"
"Fulgulairo";"Yuyu";"Yuyu"
"Bérasca";"Glaivodo";"Bérasca"
"Fragoin (Mâle)";"Pelage-Sablé";"Pelage-Sablé"
"Motorizard";"Gromago";"Motorizard"
"Miascarade";"Arboliva";"Arboliva"
"Fulgulairo";"Paume-de-Fer";"Fulgulairo"
"Fragoin (Mâle)";"Courrousinge";"Courrousinge"
"Tomberro";"Mite-de-Fer";"Mite-de-Fer"
"Tapatoès (Blanc)";"Scalpereur";"Tapatoès (Blanc)"
"Epine-de-Fer";"Glaivodo";"Epine-de-Fer"
"Fragoin (Mâle)";"Tomberro";"Fragoin (Mâle)"
"Briochien";"Baojian";"Briochien"
"Flâmigator";"Tomberro";"Flâmigator"
"Briochien";"Floréclat";"Briochien"
"Filentrappe";"Ampibidou";"Ampibidou"
"Motorizard";"Garde-de-Fer";"Motorizard"
"Carmadura";"Tomberro";"Carmadura"
"Briochien";"Glaivodo";"Briochien"
