"P1";"P2";"Vainqueur"
"Lézargus";"Blancoton";"Blancoton"
"Dolman";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Ixon";"Bekaglaçon (Tête de Gel)";"Bekaglaçon (Tête de Gel)"
"Nigosier";"Ursaking";"Nigosier"
"Séracrawl (Hisui)";"Palarticho";"Séracrawl (Hisui)"
"Smogogo (Galar)";"Astronelle";"Astronelle"
"Clamiral (Hisui)";"Paragruel (Femelle)";"Clamiral (Hisui)"
"Salarsen (Grave)";"Blizzeval";"Blizzeval"
"Regidrago";"Qwilpik";"Regidrago"
"Zoroark (Hisui)";"Angoliath";"Zoroark (Hisui)"
"Electhor (Galar)";"Morpeko";"Electhor (Galar)"
"Dratatin";"Ursaking";"Ursaking"
"Hastacuda";"Palarticho";"Hastacuda"
"Artikodin (Galar)";"Krakos";"Krakos"
"Krakos";"Hydragla";"Krakos"
"Zarude";"Regieleki";"Regieleki"
"Sulfura (Galar)";"Zacian (Héros Aguerri)";"Sulfura (Galar)"
"Sulfura (Galar)";"Charmilly (Lait Salé Baie en Sucre)";"Sulfura (Galar)"
"Arcanin (Hisui)";"Ixon";"Arcanin (Hisui)"
"Darumacho (Galar)";"Nigosier";"Nigosier"
"Flagadoss (Galar)";"Hastacuda";"Flagadoss (Galar)"
"Dunaconda";"Nigosier";"Dunaconda"
"Electhor (Galar)";"Polthégeist";"Electhor (Galar)"
"Monthracite";"Dunaconda";"Dunaconda"
"Zamazenta (Héros Aguerri)";"Regidrago";"Regidrago"
"Sorcilence";"M. Glaquette";"Sorcilence"
"Electrode (Hisui)";"Torgamord";"Electrode (Hisui)"
"Flagadoss (Galar)";"Krakos";"Flagadoss (Galar)"
"Beldeneige";"Zamazenta (Héros Aguerri)";"Beldeneige"
"Roublenard";"Torgamord";"Roublenard"
"Muplodocus (Hisui)";"Polthégeist";"Muplodocus (Hisui)"
"Cerbyllin";"Hachécateur";"Hachécateur"
"Zamazenta (Héros Aguerri)";"Ursaking";"Zamazenta (Héros Aguerri)"
