"P1";"P2";"Vainqueur"
"Linéon";"Galeking";"Linéon"
"Solaroc";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Braségali (Mâle)";"Charmillon (Mâle)";"Charmillon (Mâle)"
"Papinox (Mâle)";"Métalosse";"Métalosse"
"Chartor";"Kaorine";"Chartor"
"Mangriff";"Absol";"Absol"
"Hariyama";"Posipi";"Posipi"
"Jirachi";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Linéon";"Colhomard";"Linéon"
"Galeking";"Avaltout (Mâle)";"Galeking"
"Spinda";"Branette";"Branette"
"Séviper";"Tropius";"Séviper"
"Ninjask";"Charmina (Mâle)";"Ninjask"
"Séléroc";"Eoko";"Séléroc"
"Jungko";"Laggron";"Laggron"
"Spinda";"Latias";"Latias"
"Séviper";"Absol";"Absol"
"Gardevoir";"Oniglali";"Gardevoir"
"Linéon";"Ludicolo (Mâle)";"Linéon"
"Linéon";"Branette";"Linéon"
"Tengalice (Mâle)";"Rosabyss";"Rosabyss"
"Ninjask";"Regirock";"Ninjask"
"Papinox (Mâle)";"Delcatty";"Delcatty"
"Maskadra";"Solaroc";"Solaroc"
"Munja";"Colhomard";"Munja"
"Eoko";"Regice";"Regice"
"Libégon";"Métalosse";"Métalosse"
"Eoko";"Lovdisc";"Lovdisc"
"Libégon";"Milobellus (Femelle)";"Libégon"
"Tengalice (Mâle)";"Métalosse";"Métalosse"
"Tengalice (Mâle)";"Barbicha";"Barbicha"
"Kaorine";"Latias";"Latias"
"Laggron";"Oniglali";"Laggron"
"Gardevoir";"Munja";"Munja"
"Charmillon (Mâle)";"Ludicolo (Mâle)";"Charmillon (Mâle)"
"Delcatty";"Lumivole";"Delcatty"
"Braségali (Mâle)";"Papinox (Mâle)";"Papinox (Mâle)"
"Ténéfix";"Deoxys (Vitesse)";"Ténéfix"
"Elecsprint";"Barbicha";"Elecsprint"
"Bekipan";"Mangriff";"Bekipan"
"Brouhabam";"Armaldo";"Armaldo"
"Linéon";"Barbicha";"Linéon"
"Libégon";"Kecleon";"Libégon"
"Laggron";"Charmina (Mâle)";"Laggron"
"Ludicolo (Mâle)";"Groret";"Groret"
"Jungko";"Charmillon (Mâle)";"Charmillon (Mâle)"
"Groret";"Vacilys";"Groret"
"Laggron";"Sharpedo";"Laggron"
"Colhomard";"Regice";"Regice"
"Laggron";"Groret";"Groret"
"Solaroc";"Groudon";"Groudon"
"Linéon";"Muciole";"Linéon"
"Lumivole";"Lovdisc";"Lovdisc"
"Vacilys";"Latias";"Latias"
"Jungko";"Muciole";"Jungko"
"Négapi";"Oniglali";"Négapi"
"Lovdisc";"Regirock";"Regirock"
"Négapi";"Spinda";"Négapi"
"Groret";"Libégon";"Libégon"
"Laggron";"Brouhabam";"Laggron"
"Groret";"Oniglali";"Groret"
"Laggron";"Barbicha";"Laggron"
"Hélédelle";"Galeking";"Hélédelle"
"Regice";"Groudon";"Groudon"
"Charmina (Mâle)";"Rayquaza";"Rayquaza"
"Groret";"Deoxys (Vitesse)";"Groret"
"Solaroc";"Relicanth (Femelle)";"Solaroc"
"Brouhabam";"Wailord";"Brouhabam"
"Barbicha";"Kyogre";"Kyogre"
"Jungko";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Kaorine";"Métalosse";"Métalosse"
"Munja";"Rosabyss";"Munja"
"Sharpedo";"Altaria";"Sharpedo"
"Milobellus (Femelle)";"Registeel";"Milobellus (Femelle)"
"Négapi";"Jirachi";"Négapi"
"Wailord";"Tropius";"Wailord"
"Spinda";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Solaroc";"Rosabyss";"Rosabyss"
"Mysdibule";"Kecleon";"Kecleon"
"Altaria";"Lovdisc";"Altaria"
"Ninjask";"Camérupt (Femelle)";"Ninjask"
"Laggron";"Mangriff";"Laggron"
"Hariyama";"Métalosse";"Métalosse"
"Muciole";"Barbicha";"Barbicha"
"Absol";"Jirachi";"Absol"
"Grahyèna";"Branette";"Grahyèna"
"Ninjask";"Wailord";"Ninjask"
"Laggron";"Bekipan";"Laggron"
"Sharpedo";"Mangriff";"Sharpedo"
"Mysdibule";"Charmina (Mâle)";"Mysdibule"
"Séléroc";"Latios";"Latios"
"Muciole";"Regirock";"Regirock"
"Mysdibule";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Munja";"Rayquaza";"Munja"
"Sharpedo";"Colhomard";"Sharpedo"
"Braségali (Mâle)";"Tropius";"Tropius"
"Négapi";"Séviper";"Négapi"
"Drattak";"Kyogre";"Drattak"
"Hariyama";"Colhomard";"Hariyama"
"Jungko";"Mysdibule";"Jungko"
"Kaorine";"Regirock";"Regirock"
"Brouhabam";"Groret";"Groret"
"Elecsprint";"Vacilys";"Elecsprint"
"Brouhabam";"Kaimorse";"Brouhabam"
"Lumivole";"Kaorine";"Kaorine"
"Gardevoir";"Branette";"Gardevoir"
"Mangriff";"Tropius";"Tropius"
"Delcatty";"Rosabyss";"Delcatty"
"Delcatty";"Galeking";"Delcatty"
"Spinda";"Jirachi";"Jirachi"
"Galeking";"Wailord";"Wailord"
"Colhomard";"Kyogre";"Kyogre"
"Ténéfix";"Posipi";"Ténéfix"
"Bekipan";"Muciole";"Bekipan"
"Hariyama";"Oniglali";"Oniglali"
"Kecleon";"Drattak";"Drattak"
"Armaldo";"Groudon";"Armaldo"
"Hélédelle";"Serpang";"Hélédelle"
"Braségali (Mâle)";"Brouhabam";"Brouhabam"
"Munja";"Spinda";"Munja"
"Barbicha";"Colhomard";"Colhomard"
"Vacilys";"Latios";"Latios"
"Hélédelle";"Rayquaza";"Rayquaza"
"Delcatty";"Relicanth (Femelle)";"Delcatty"
"Mangriff";"Solaroc";"Solaroc"
"Chartor";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Chapignon";"Kaimorse";"Chapignon"
"Bekipan";"Jirachi";"Bekipan"
"Chapignon";"Camérupt (Femelle)";"Chapignon"
"Kecleon";"Regice";"Kecleon"
"Barbicha";"Regirock";"Regirock"
"Ténéfix";"Eoko";"Ténéfix"
"Chartor";"Kecleon";"Kecleon"
"Monaflèmit";"Lovdisc";"Lovdisc"
"Elecsprint";"Latios";"Latios"
"Laggron";"Tengalice (Mâle)";"Laggron"
"Kaimorse";"Regirock";"Regirock"
"Jungko";"Séviper";"Séviper"
"Laggron";"Papinox (Mâle)";"Laggron"
"Gardevoir";"Ninjask";"Ninjask"
"Mysdibule";"Camérupt (Femelle)";"Mysdibule"
"Chartor";"Rosabyss";"Chartor"
"Muciole";"Métalosse";"Métalosse"
"Ninjask";"Branette";"Ninjask"
"Chapignon";"Métalosse";"Chapignon"
"Hélédelle";"Hariyama";"Hélédelle"
"Wailord";"Kaorine";"Wailord"
"Maskadra";"Ténéfix";"Ténéfix"
"Ténéfix";"Latias";"Latias"
"Eoko";"Rosabyss";"Rosabyss"
"Altaria";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Laggron";"Armaldo";"Armaldo"
"Papinox (Mâle)";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Charmina (Mâle)";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Colhomard";"Absol";"Absol"
"Kecleon";"Latios";"Latios"
"Lovdisc";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Libégon";"Serpang";"Libégon"
"Camérupt (Femelle)";"Cacturne (Femelle)";"Cacturne (Femelle)"
"Registeel";"Groudon";"Registeel"
"Kaimorse";"Rosabyss";"Rosabyss"
"Hélédelle";"Posipi";"Hélédelle"
"Papinox (Mâle)";"Armaldo";"Armaldo"
"Lumivole";"Latios";"Latios"
"Maskadra";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Ninjask";"Spinda";"Ninjask"
"Ténéfix";"Groret";"Ténéfix"
"Regirock";"Kyogre";"Kyogre"
"Braségali (Mâle)";"Métalosse";"Métalosse"
"Posipi";"Regirock";"Posipi"
"Oniglali";"Kaimorse";"Oniglali"
"Delcatty";"Absol";"Absol"
"Chartor";"Eoko";"Chartor"
"Serpang";"Drattak";"Drattak"
"Monaflèmit";"Camérupt (Femelle)";"Monaflèmit"
"Delcatty";"Mysdibule";"Delcatty"
"Spinda";"Absol";"Absol"
"Métalosse";"Regice";"Métalosse"
"Libégon";"Rosabyss";"Libégon"
"Camérupt (Femelle)";"Libégon";"Libégon"
"Munja";"Kaorine";"Munja"
"Charmina (Mâle)";"Kaorine";"Kaorine"
"Maskadra";"Tropius";"Tropius"
"Séléroc";"Kyogre";"Kyogre"
"Munja";"Delcatty";"Delcatty"
"Charmillon (Mâle)";"Branette";"Charmillon (Mâle)"
"Ténéfix";"Armaldo";"Ténéfix"
"Laggron";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Séléroc";"Armaldo";"Armaldo"
"Ludicolo (Mâle)";"Spinda";"Ludicolo (Mâle)"
"Jungko";"Regirock";"Regirock"
"Charmina (Mâle)";"Relicanth (Femelle)";"Relicanth (Femelle)"
"Hariyama";"Séviper";"Séviper"
"Colhomard";"Métalosse";"Métalosse"
"Groret";"Drattak";"Drattak"
"Posipi";"Cacturne (Femelle)";"Cacturne (Femelle)"
"Lumivole";"Vacilys";"Vacilys"
"Elecsprint";"Kaimorse";"Elecsprint"
"Galeking";"Spinda";"Galeking"
"Ludicolo (Mâle)";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Hariyama";"Latias";"Latias"
"Solaroc";"Absol";"Absol"
"Armaldo";"Kyogre";"Kyogre"
"Gardevoir";"Cacturne (Femelle)";"Gardevoir"
"Charmina (Mâle)";"Drattak";"Drattak"
"Papinox (Mâle)";"Kaorine";"Kaorine"
"Mangriff";"Branette";"Branette"
"Chapignon";"Sharpedo";"Chapignon"
"Spinda";"Rosabyss";"Rosabyss"
"Monaflèmit";"Kaorine";"Kaorine"
"Sharpedo";"Spinda";"Sharpedo"
"Munja";"Deoxys (Vitesse)";"Munja"
"Posipi";"Chartor";"Posipi"
"Vacilys";"Groudon";"Groudon"
"Braségali (Mâle)";"Bekipan";"Bekipan"
"Monaflèmit";"Delcatty";"Delcatty"
"Ludicolo (Mâle)";"Séviper";"Séviper"
"Tengalice (Mâle)";"Registeel";"Registeel"
"Charmina (Mâle)";"Tropius";"Tropius"
"Ténéfix";"Groudon";"Groudon"
"Séviper";"Solaroc";"Séviper"
"Laggron";"Linéon";"Linéon"
"Sharpedo";"Oniglali";"Sharpedo"
"Kecleon";"Absol";"Absol"
"Posipi";"Lumivole";"Posipi"
"Munja";"Galeking";"Munja"
"Séléroc";"Lovdisc";"Séléroc"
"Bekipan";"Tropius";"Tropius"
"Wailord";"Armaldo";"Wailord"
"Kaorine";"Armaldo";"Armaldo"
"Kyogre";"Groudon";"Kyogre"
"Négapi";"Groudon";"Négapi"
"Maskadra";"Mangriff";"Maskadra"
"Groret";"Kaimorse";"Groret"
"Munja";"Kyogre";"Munja"
"Hélédelle";"Kaorine";"Hélédelle"
"Eoko";"Rayquaza";"Rayquaza"
"Armaldo";"Serpang";"Armaldo"
"Barbicha";"Jirachi";"Jirachi"
"Galeking";"Groudon";"Groudon"
"Gardevoir";"Négapi";"Négapi"
"Négapi";"Cacturne (Femelle)";"Négapi"
"Papinox (Mâle)";"Lumivole";"Papinox (Mâle)"
"Tropius";"Rosabyss";"Tropius"
"Braségali (Mâle)";"Tengalice (Mâle)";"Braségali (Mâle)"
"Altaria";"Regice";"Altaria"
"Laggron";"Latias";"Latias"
"Absol";"Relicanth (Femelle)";"Absol"
"Solaroc";"Latios";"Latios"
"Kaimorse";"Rayquaza";"Rayquaza"
"Vacilys";"Eoko";"Vacilys"
"Papinox (Mâle)";"Charmina (Mâle)";"Papinox (Mâle)"
"Mysdibule";"Libégon";"Libégon"
"Posipi";"Rosabyss";"Rosabyss"
"Gardevoir";"Relicanth (Femelle)";"Relicanth (Femelle)"
"Munja";"Sharpedo";"Munja"
"Lumivole";"Chartor";"Chartor"
"Ténéfix";"Colhomard";"Ténéfix"
"Altaria";"Kaimorse";"Kaimorse"
"Kecleon";"Rayquaza";"Kecleon"
"Papinox (Mâle)";"Groret";"Groret"
"Elecsprint";"Absol";"Absol"
"Charmillon (Mâle)";"Barbicha";"Charmillon (Mâle)"
"Ludicolo (Mâle)";"Négapi";"Négapi"
"Charmina (Mâle)";"Serpang";"Charmina (Mâle)"
"Charmillon (Mâle)";"Kaimorse";"Charmillon (Mâle)"
"Papinox (Mâle)";"Latias";"Latias"
"Drattak";"Latias";"Latias"
"Hariyama";"Serpang";"Hariyama"
"Elecsprint";"Morphéo (Blizzard)";"Elecsprint"
"Maskadra";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Séviper";"Métalosse";"Séviper"
"Maskadra";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Delcatty";"Branette";"Delcatty"
"Avaltout (Mâle)";"Cacturne (Femelle)";"Cacturne (Femelle)"
"Charmillon (Mâle)";"Kaorine";"Charmillon (Mâle)"
"Branette";"Drattak";"Drattak"
"Monaflèmit";"Barbicha";"Monaflèmit"
"Bekipan";"Ninjask";"Ninjask"
"Hariyama";"Mangriff";"Mangriff"
"Grahyèna";"Regice";"Grahyèna"
"Barbicha";"Rayquaza";"Rayquaza"
"Milobellus (Femelle)";"Rayquaza";"Rayquaza"
"Camérupt (Femelle)";"Rosabyss";"Rosabyss"
"Monaflèmit";"Mangriff";"Mangriff"
"Ténéfix";"Regirock";"Ténéfix"
"Serpang";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Grahyèna";"Ludicolo (Mâle)";"Grahyèna"
"Chapignon";"Registeel";"Registeel"
"Elecsprint";"Branette";"Elecsprint"
"Barbicha";"Kecleon";"Kecleon"
"Avaltout (Mâle)";"Mangriff";"Mangriff"
"Charmina (Mâle)";"Libégon";"Libégon"
"Barbicha";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Tengalice (Mâle)";"Kecleon";"Kecleon"
"Camérupt (Femelle)";"Registeel";"Registeel"
"Chapignon";"Eoko";"Chapignon"
"Gardevoir";"Wailord";"Gardevoir"
"Kaorine";"Branette";"Branette"
