"P1";"P2";"Vainqueur"
"Aéroptéryx";"Mamanbo";"Aéroptéryx"
"Flotoutan";"Lugulabre";"Lugulabre"
"Gueriaigle";"Viridium";"Gueriaigle"
"Fulguris (Totémique)";"Kyurem";"Fulguris (Totémique)"
"Aflamanoir";"Boréas (Totémique)";"Boréas (Totémique)"
"Neitram";"Reshiram";"Reshiram"
"Hexagel";"Fulguris (Totémique)";"Fulguris (Totémique)"
"Neitram";"Scalproie";"Scalproie"
"Roitiflam";"Sidérella";"Roitiflam"
"Moyade (Mâle)";"Hexagel";"Moyade (Mâle)"
"Crabaraque";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Rhinolove";"Bétochef";"Rhinolove"
"Flamoutan";"Reshiram";"Reshiram"
"Mégapagos";"Noacier";"Mégapagos"
"Bargantua (Motif Rouge)";"Shaofouine";"Shaofouine"
"Déflaisan (Mâle)";"Viridium";"Viridium"
"Fulguris (Totémique)";"Reshiram";"Reshiram"
"Fragilady";"Fermite";"Fragilady"
"Limaspeed";"Trioxhydre";"Trioxhydre"
"Gaulet";"Gueriaigle";"Gueriaigle"
"Majaspic";"Gaulet";"Majaspic"
"Limonde";"Zekrom";"Zekrom"
"Fulguris (Totémique)";"Démétéros (Totémique)";"Fulguris (Totémique)"
"Symbios";"Emolga";"Emolga"
"Crocorible";"Haydaim (Hiver)";"Haydaim (Hiver)"
"Aéroptéryx";"Zekrom";"Zekrom"
"Karaclée";"Limonde";"Karaclée"
"Shaofouine";"Cobaltium";"Cobaltium"
"Gigalithe";"Trioxhydre";"Gigalithe"
"Brutapode";"Pashmilla";"Pashmilla"
"Brutapode";"Sorbouboul";"Brutapode"
"Reshiram";"Kyurem";"Reshiram"
"Viridium";"Zekrom";"Zekrom"
"Mamanbo";"Boréas (Totémique)";"Mamanbo"
"Gigalithe";"Symbios";"Gigalithe"
"Sidérella";"Hexagel";"Hexagel"
"Darumacho";"Neitram";"Neitram"
"Sidérella";"Terrakium";"Terrakium"
"Judokrak";"Trioxhydre";"Trioxhydre"
"Golemastoc";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Mastouffe";"Cliticlic";"Cliticlic"
"Miradar";"Mégapagos";"Mégapagos"
"Emolga";"Kyurem";"Emolga"
"Tutankafer";"Shaofouine";"Tutankafer"
"Noacier";"Gueriaigle";"Gueriaigle"
"Sorbouboul";"Hexagel";"Hexagel"
"Trioxhydre";"Démétéros (Totémique)";"Trioxhydre"
"Roitiflam";"Maracachi";"Maracachi"
"Ohmassacre";"Viridium";"Viridium"
"Gigalithe";"Hexagel";"Gigalithe"
"Sorbouboul";"Pyrax";"Pyrax"
"Lakmécygne";"Mygavolt";"Mygavolt"
"Miradar";"Drakkarmin";"Drakkarmin"
"Moyade (Mâle)";"Frison";"Frison"
"Haydaim (Hiver)";"Fulguris (Totémique)";"Haydaim (Hiver)"
"Pyrax";"Meloetta (Chant)";"Pyrax"
"Crapustule";"Kyurem";"Kyurem"
"Bétochef";"Tutankafer";"Tutankafer"
"Brutapode";"Mamanbo";"Brutapode"
"Fermite";"Trioxhydre";"Trioxhydre"
"Mégapagos";"Viridium";"Viridium"
"Haydaim (Hiver)";"Lançargot";"Haydaim (Hiver)"
"Fragilady";"Symbios";"Fragilady"
"Clamiral";"Symbios";"Clamiral"
"Léopardus";"Zekrom";"Zekrom"
"Crapustule";"Zoroark";"Zoroark"
"Majaspic";"Zoroark";"Majaspic"
"Emolga";"Lugulabre";"Emolga"
"Minotaupe";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Bargantua (Motif Rouge)";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Roitiflam";"Emolga";"Emolga"
"Mushana";"Vaututrice";"Mushana"
"Sidérella";"Boréas (Totémique)";"Boréas (Totémique)"
"Miasmax";"Zoroark";"Zoroark"
"Bétochef";"Crabaraque";"Crabaraque"
"Judokrak";"Noacier";"Noacier"
"Maracachi";"Aéroptéryx";"Aéroptéryx"
"Baggaïd";"Symbios";"Symbios"
"Limaspeed";"Zekrom";"Zekrom"
"Nanméouïe";"Fulguris (Totémique)";"Fulguris (Totémique)"
"Mastouffe";"Scalproie";"Scalproie"
"Haydaim (Hiver)";"Reshiram";"Haydaim (Hiver)"
"Polagriffe";"Fermite";"Polagriffe"
"Zoroark";"Mamanbo";"Zoroark"
"Zoroark";"Emolga";"Emolga"
"Flotoutan";"Zoroark";"Zoroark"
"Mushana";"Manternel";"Mushana"
"Nanméouïe";"Tranchodon";"Tranchodon"
"Gigalithe";"Fragilady";"Gigalithe"
"Nanméouïe";"Zekrom";"Zekrom"
"Baggaïd";"Pashmilla";"Pashmilla"
"Flotoutan";"Lakmécygne";"Lakmécygne"
"Manternel";"Aéroptéryx";"Aéroptéryx"
"Zoroark";"Lugulabre";"Lugulabre"
"Pyrax";"Viridium";"Pyrax"
"Feuiloutan";"Kyurem";"Feuiloutan"
"Léopardus";"Terrakium";"Léopardus"
"Gueriaigle";"Aflamanoir";"Gueriaigle"
"Crapustule";"Emolga";"Emolga"
"Crapustule";"Aflamanoir";"Aflamanoir"
"Darumacho";"Emolga";"Emolga"
"Tutankafer";"Noacier";"Noacier"
"Déflaisan (Mâle)";"Neitram";"Déflaisan (Mâle)"
"Victini";"Miradar";"Victini"
"Ohmassacre";"Genesect (Normal)";"Ohmassacre"
"Karaclée";"Fermite";"Karaclée"
"Majaspic";"Darumacho";"Majaspic"
"Bétochef";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Crapustule";"Zekrom";"Zekrom"
"Judokrak";"Aflamanoir";"Aflamanoir"
"Brutapode";"Boréas (Totémique)";"Brutapode"
"Trioxhydre";"Kyurem";"Trioxhydre"
"Mygavolt";"Tranchodon";"Tranchodon"
"Clamiral";"Lugulabre";"Clamiral"
"Karaclée";"Reshiram";"Reshiram"
"Gaulet";"Drakkarmin";"Drakkarmin"
"Drakkarmin";"Scalproie";"Scalproie"
"Miradar";"Sorbouboul";"Sorbouboul"
"Tutankafer";"Meloetta (Chant)";"Tutankafer"
"Limaspeed";"Terrakium";"Limaspeed"
"Cliticlic";"Trioxhydre";"Trioxhydre"
"Symbios";"Genesect (Normal)";"Genesect (Normal)"
"Majaspic";"Boréas (Totémique)";"Majaspic"
"Ohmassacre";"Meloetta (Chant)";"Ohmassacre"
"Flotoutan";"Rhinolove";"Rhinolove"
"Pashmilla";"Noacier";"Pashmilla"
"Manternel";"Tutankafer";"Tutankafer"
"Noacier";"Drakkarmin";"Noacier"
"Brutapode";"Aflamanoir";"Brutapode"
"Mamanbo";"Zekrom";"Zekrom"
"Zéblitz";"Drakkarmin";"Zéblitz"
"Symbios";"Hexagel";"Symbios"
"Déflaisan (Mâle)";"Rhinolove";"Déflaisan (Mâle)"
"Fragilady";"Moyade (Mâle)";"Fragilady"
"Emolga";"Gueriaigle";"Gueriaigle"
"Emolga";"Limonde";"Emolga"
"Nanméouïe";"Neitram";"Neitram"
"Farfaduvet";"Scalproie";"Scalproie"
"Moyade (Mâle)";"Reshiram";"Reshiram"
"Bargantua (Motif Rouge)";"Sidérella";"Sidérella"
"Feuiloutan";"Judokrak";"Feuiloutan"
"Clamiral";"Zekrom";"Clamiral"
"Feuiloutan";"Genesect (Normal)";"Feuiloutan"
"Vaututrice";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Flotoutan";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Aéroptéryx";"Pyrax";"Aéroptéryx"
"Cliticlic";"Reshiram";"Reshiram"
"Feuiloutan";"Manternel";"Manternel"
"Flamoutan";"Judokrak";"Judokrak"
