"P1";"P2";"Vainqueur"
"Argouste";"Boumata";"Boumata"
"Bazoucan";"Katagami";"Bazoucan"
"Tokopisco";"Câblifère";"Tokopisco"
"Lucanon";"Gouroutan";"Lucanon"
"Argouste";"Cancrelove";"Cancrelove"
"Prédastérie";"Mouscoto";"Mouscoto"
"Grolem (Alola)";"Ekaïser";"Ekaïser"
"Gouroutan";"Bamboiselle";"Gouroutan"
"Noadkoko (Alola)";"Quartermac";"Noadkoko (Alola)"
"Mimiqui";"Engloutyran";"Mimiqui"
"Bazoucan";"Ekaïser";"Bazoucan"
"Plumeline (Buyo)";"Boumata";"Plumeline (Buyo)"
"Guérilande";"Lunala";"Lunala"
"Sucreine";"Boumata";"Sucreine"
"Plumeline (Buyo)";"Dodoala";"Plumeline (Buyo)"
"Noadkoko (Alola)";"Engloutyran";"Noadkoko (Alola)"
"Tarenbulle";"Togedemaru";"Tarenbulle"
"Triopikeur (Alola)";"Solgaleo";"Solgaleo"
"Grotadmorv (Alola)";"Concombaffe";"Concombaffe"
"Froussardine (Solitaire)";"Silvallié";"Silvallié"
"Feunard (Alola)";"Grotadmorv (Alola)";"Feunard (Alola)"
"Argouste";"Bamboiselle";"Argouste"
"Feunard (Alola)";"Engloutyran";"Feunard (Alola)"
"Lucanon";"Cancrelove";"Lucanon"
"Dodoala";"Necrozma";"Necrozma"
"Rubombelle";"Mimiqui";"Rubombelle"
"Katagami";"Magearna";"Magearna"
"Prédastérie";"Météno (Météore)";"Météno (Météore)"
"Chelours";"Cancrelove";"Cancrelove"
"Ossatueur (Alola)";"Tarenbulle";"Ossatueur (Alola)"
"Lougaroc (Crépusculaire)";"Magearna";"Lougaroc (Crépusculaire)"
"Rattatac (Alola)";"Ekaïser";"Ekaïser"
"Denticrisse";"Tokorico";"Tokorico"
"Malamandre";"Mimiqui";"Malamandre"
"Archéduc";"Lucanon";"Lucanon"
"Mimiqui";"Denticrisse";"Mimiqui"
"Bourrinos";"Katagami";"Bourrinos"
"Sablaireau (Alola)";"Sucreine";"Sablaireau (Alola)"
"Félinferno";"Marshadow";"Félinferno"
"Chelours";"Boumata";"Boumata"
"Noadkoko (Alola)";"Félinferno";"Félinferno"
"Mouscoto";"Marshadow";"Marshadow"
"Gouroutan";"Sarmuraï";"Sarmuraï"
"Sablaireau (Alola)";"Silvallié";"Sablaireau (Alola)"
"Guérilande";"Magearna";"Guérilande"
"Persian (Alola)";"Grotadmorv (Alola)";"Grotadmorv (Alola)"
"Feunard (Alola)";"Oratoria";"Feunard (Alola)"
"Triopikeur (Alola)";"Bazoucan";"Bazoucan"
"Grotadmorv (Alola)";"Silvallié";"Silvallié"
"Raichu (Alola)";"Ossatueur (Alola)";"Ossatueur (Alola)"
"Prédastérie";"Denticrisse";"Prédastérie"
"Sucreine";"Mimiqui";"Sucreine"
"Bazoucan";"Gouroutan";"Bazoucan"
"Raichu (Alola)";"Necrozma";"Necrozma"
"Grolem (Alola)";"Denticrisse";"Grolem (Alola)"
"Argouste";"Malamandre";"Malamandre"
"Triopikeur (Alola)";"Sucreine";"Sucreine"
"Draïeul";"Tokopisco";"Tokopisco"
"Grolem (Alola)";"Météno (Météore)";"Météno (Météore)"
"Tokopisco";"Magearna";"Tokopisco"
"Archéduc";"Floramantis";"Archéduc"
"Argouste";"Lunala";"Lunala"
"Persian (Alola)";"Concombaffe";"Concombaffe"
"Rubombelle";"Câblifère";"Rubombelle"
"Triopikeur (Alola)";"Chelours";"Chelours"
"Raichu (Alola)";"Sarmuraï";"Sarmuraï"
"Persian (Alola)";"Bazoucan";"Bazoucan"
"Noadkoko (Alola)";"Lunala";"Lunala"
"Plumeline (Buyo)";"Tokopisco";"Tokopisco"
"Tokotoro";"Engloutyran";"Engloutyran"
"Bazoucan";"Tokopisco";"Tokopisco"
"Persian (Alola)";"Lunala";"Lunala"
"Draïeul";"Lunala";"Lunala"
"Floramantis";"Lunala";"Lunala"
"Bazoucan";"Tokopiyon";"Bazoucan"
"Boumata";"Sinistrail";"Sinistrail"
"Chelours";"Météno (Météore)";"Météno (Météore)"
"Tarenbulle";"Câblifère";"Câblifère"
"Bazoucan";"Météno (Météore)";"Météno (Météore)"
"Togedemaru";"Magearna";"Magearna"
"Mouscoto";"Câblifère";"Mouscoto"
"Lucanon";"Rubombelle";"Lucanon"
"Sarmuraï";"Trépassable";"Sarmuraï"
"Ekaïser";"Mouscoto";"Mouscoto"
"Guérilande";"Tokorico";"Tokorico"
"Ossatueur (Alola)";"Oratoria";"Ossatueur (Alola)"
"Noadkoko (Alola)";"Lucanon";"Lucanon"
"Floramantis";"Togedemaru";"Floramantis"
"Triopikeur (Alola)";"Floramantis";"Floramantis"
"Rubombelle";"Zéroïd";"Zéroïd"
"Togedemaru";"Sinistrail";"Sinistrail"
"Noadkoko (Alola)";"Lampignon";"Noadkoko (Alola)"
"Noadkoko (Alola)";"Cancrelove";"Noadkoko (Alola)"
"Tokopisco";"Necrozma";"Tokopisco"
"Zéroïd";"Katagami";"Zéroïd"
"Silvallié";"Necrozma";"Necrozma"
"Tarenbulle";"Solgaleo";"Solgaleo"
"Feunard (Alola)";"Bazoucan";"Feunard (Alola)"
"Persian (Alola)";"Malamandre";"Malamandre"
"Oratoria";"Chelours";"Oratoria"
"Plumeline (Buyo)";"Malamandre";"Malamandre"
"Draïeul";"Sinistrail";"Sinistrail"
"Bamboiselle";"Engloutyran";"Engloutyran"
"Silvallié";"Ekaïser";"Silvallié"
"Bourrinos";"Câblifère";"Câblifère"
"Ossatueur (Alola)";"Malamandre";"Ossatueur (Alola)"
"Félinferno";"Togedemaru";"Félinferno"
"Archéduc";"Gouroutan";"Archéduc"
"Gouroutan";"Silvallié";"Silvallié"
"Grolem (Alola)";"Prédastérie";"Prédastérie"
"Froussardine (Solitaire)";"Câblifère";"Froussardine (Solitaire)"
"Oratoria";"Boumata";"Oratoria"
"Sinistrail";"Ekaïser";"Sinistrail"
"Mouscoto";"Bamboiselle";"Mouscoto"
"Grolem (Alola)";"Malamandre";"Malamandre"
"Bazoucan";"Draïeul";"Bazoucan"
"Grolem (Alola)";"Draïeul";"Grolem (Alola)"
"Tarenbulle";"Météno (Météore)";"Météno (Météore)"
"Sucreine";"Quartermac";"Quartermac"
"Tokorico";"Mouscoto";"Tokorico"
"Archéduc";"Guérilande";"Archéduc"
"Noadkoko (Alola)";"Chelours";"Noadkoko (Alola)"
"Cancrelove";"Katagami";"Katagami"
"Sablaireau (Alola)";"Oratoria";"Sablaireau (Alola)"
"Chelours";"Gouroutan";"Gouroutan"
"Denticrisse";"Zéroïd";"Zéroïd"
"Mimiqui";"Ekaïser";"Mimiqui"
"Grotadmorv (Alola)";"Togedemaru";"Togedemaru"
"Noadkoko (Alola)";"Sinistrail";"Sinistrail"
"Raichu (Alola)";"Floramantis";"Floramantis"
"Sablaireau (Alola)";"Tarenbulle";"Sablaireau (Alola)"
"Bazoucan";"Quartermac";"Quartermac"
"Félinferno";"Chelours";"Félinferno"
"Bourrinos";"Chelours";"Bourrinos"
"Boumata";"Ekaïser";"Boumata"
"Gouroutan";"Météno (Météore)";"Météno (Météore)"
"Tokorico";"Lunala";"Lunala"
"Lampignon";"Concombaffe";"Concombaffe"
"Ossatueur (Alola)";"Togedemaru";"Ossatueur (Alola)"
"Mouscoto";"Cancrelove";"Mouscoto"
"Grolem (Alola)";"Bamboiselle";"Grolem (Alola)"
"Persian (Alola)";"Félinferno";"Félinferno"
"Argouste";"Guérilande";"Guérilande"
"Lougaroc (Crépusculaire)";"Sarmuraï";"Sarmuraï"
"Argouste";"Froussardine (Solitaire)";"Froussardine (Solitaire)"
"Tarenbulle";"Bamboiselle";"Tarenbulle"
"Feunard (Alola)";"Archéduc";"Feunard (Alola)"
"Trépassable";"Ekaïser";"Ekaïser"
"Plumeline (Buyo)";"Floramantis";"Floramantis"
"Bourrinos";"Tokopisco";"Tokopisco"
"Prédastérie";"Gouroutan";"Prédastérie"
